,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
560,"Northlight 7"" Lighted Santa and Christmas Tree Cloche Style Decoration",37.69,31.19,17.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
561,Novelty Lights LED Christmas Decoration Night Light with Swivel Plug,20.73,20.73,0.0,0.0,0,Christmas,Christmas Decor Ideas,Novelty Lights Inc
562,Joiedomi 5ft Jumping Reindeer Buck Yard Light Christmas Decoration Deer Yard Lights Decor  for Yard Garden Lawn,218.99,152.99,30.0,0.0,0,Christmas,Christmas Decor Ideas,Joiedomi
563,Barcana Onion Drop Outdoor Macrame Wrapped Christmas Decoration Clear - White Wire,101.49,78.99,22.0,0.0,0,Christmas,Christmas Decor Ideas,Barcana
564,Costway 3 PCS Lighted Reindeer Family Set Pre-lit Christmas Decoration with 230 LED Lights,159.99,85.99,46.0,3.0,2,Christmas,Christmas Decor Ideas,Costway
565,Joiedomi Christmas  Reindeer Christmas Decoration Gold Doe And Fawn Yard Lights 2 Packs,217.99,173.99,20.0,0.0,0,Christmas,Christmas Decor Ideas,Joiedomi
566,Union Products Multicolored Snowman Blow Mold Christmas Decor 40 in.,148.67,148.67,0.0,0.0,0,Christmas,Christmas Decor Ideas,Union Products
567,BrylaneHome 5 Feet Tall Pre-Lit Angel Christmas Decoration,199.99,199.99,0.0,0.0,0,Christmas,Christmas Decor Ideas,BrylaneHome
568,Barcana Ball Macrame Wrapped Outdoor Lighted Christmas Decoration Clear - White Wire,86.99,68.99,21.0,0.0,0,Christmas,Christmas Decor Ideas,Barcana
569,"Best Choice Products 5ft Pre-Lit Reindeer Yard Christmas Decoration, Gold Holiday Deer w/ 150 Lights, Stakes, Zip Ties",74.99,74.99,0.0,4.3,30,Christmas,Christmas Decor Ideas,Best Choice Products
570,"Joiedomi 3D Plush Polar Bears LED Yard Lights 2 Pcs Christmas Eve Outdoor Yard Garden Decorations, Christmas Event Decoration",278.99,222.99,20.0,0.0,0,Christmas,Christmas Decor Ideas,Joiedomi
571,"Joiedomi 5ft 3D Cotton Angel with Horn Yard Light Cool White Yard Light for Christmas Eve Night Decor, Christmas Event Decoration",261.99,182.99,30.0,0.0,0,Christmas,Christmas Decor Ideas,Joiedomi
572,"VP Home Christmas Snowman Decor, Snowman Figurines Resin for Christmas Table top Decorations Snowman LED",35.7,24.99,30.0,0.0,0,Christmas,Christmas Decor Ideas,VP Home
573,"Glass Christmas Tree Ornaments - 67mm/2.63"" [4 Pieces] Decorated Balls from Christmas by Krebs Seamless Hanging Holiday Decor",19.99,19.99,0.0,0.0,0,Christmas,Christmas Ornaments,Christmas By Krebs
574,"Glass Christmas Tree Ornaments - 67mm/2.63"" [4 Pieces] Decorated Balls from Christmas by Krebs Seamless Hanging Holiday Decor",19.99,19.99,0.0,0.0,0,Christmas,Christmas Ornaments,Christmas By Krebs
575,Mr. Christmas Mr. Christmas Animated and Musical Climbing Elf with Light Strand Decoration,168.99,160.99,5.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
576,Transpac Artificial 60 in. White Christmas Decorative Garland,51.99,51.99,0.0,0.0,0,Christmas Decorations,Artificial Christmas Greenery,Transpac
577,Mr. Christmas Mr. Christmas Mini Super Climbing Reindeer Decoration,71.04,40.99,42.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
